Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes,Related Bible Passage (KJV),KJV Reference
I am on my way to a Scientologist and Brainwashers convention,General,Neutral,Reflective,General,Anytime Wisdom,61,4.6,If your cause is fair then there is always a way; If it is imperative that you reach someone then be sure there is always a way; Believing it is possible takes you most of the way there,"But I see another law in my members, warring against the law of my mind, and bringing me into captivity to the law of sin which is in my members.",Romans 7:23
"Some news never make it to the public on the basis of hearsay, this with good cause",General,Neutral,Advisory,General,Anytime Wisdom,83,6.2,"A noble belief is usually for a good cause; When disclosing shocking news, do so with full awareness; A lot of first impressions are made by irrational hearsay","Seeing then that these things cannot be spoken against, ye ought to be quiet, and to do nothing rashly.",Acts 19:36
"Relax, and don't stress, because worrying deeply is borrowing problems unneeded",General,Neutral,Reflective,General,Anytime Wisdom,79,5.9,"Be not stressed if unable to find love, for stress is borrowing problems from thereafter; Everyone has problems; some just don't know what theirs is yet; We cannot solve the problems of others if we don't know the ‘real' person","Comfort your hearts, and stablish you in every good word and work. ",II Thessalonians 2:17
The seemingly more fortunate may be deprived of ‘genuine' happiness - be happy,General,Uplifting,Reflective,General,Anytime Wisdom,78,5.9,"Be happy for others; If someone displayed an seemingly amazing happy life and then falls down, think deeply; Happiness is being in harmony","Happy is the man that findeth wisdom, and the man that getteth understanding.",Proverbs 3:13
Correct grammar not always expresses,General,Neutral,Advisory,General,Anytime Wisdom,36,2.7,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values",How forcible are right words! but what doth your arguing reprove?,Job 6:25
If things feel bad realize worse emotions exist,General,Neutral,Reflective,General,Anytime Wisdom,47,3.5,"However bad things may become, after experiencing downfall once it can all be again; Micro communities exist; Melodies of peaceful nature exist in every culture",Sorrow is better than laughter: for by the sadness of the countenance the heart is made better.,Ecclesiastes 7:3
A side is always in the wrong if one has to utilize spies,General,Neutral,Advisory,General,Anytime Wisdom,57,4.3,Comparing yourself to others is wrong but we all do it at one point; Utilize the failures of your life for stories of grandeur when possible; If anything can go wrong rest assured it shall not always or ever be so,"And we said unto him, We are true men; we are no spies:",Genesis 42:31
Do not underestimate the clown or court jester,General,Neutral,Advisory,General,Anytime Wisdom,46,3.5,Never underestimate the power of dreams; Don't ever underestimate the might of agility; Do not completely underestimate the wisdom from the past,"He leadeth counsellors away spoiled, and maketh the judges fools.",Job 12:17
"Everyone's idea of genuine love may differ, but similarities always persist",Love,Neutral,Advisory,Relationships,Anytime Wisdom,75,5.6,Every genuine artist has his/her own style; A genuine philosopher is wise; Patriotism is but a stepping stone towards an idea for an identity,"For this is the message that ye heard from the beginning, that we should love one another.",I John 3:11
"There is nothing wrong with preparing too far ahead, but be prepared for deviation",General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,Favouritism will only get you so far but it gives you identity; Arational is he that does not think ahead; Comparing yourself to others is wrong but we all do it at one point,"According to the number that ye shall prepare, so shall ye do to every one according to their number.",Numbers 15:12
If you loathe an idol try to understand why others love him/her so dearly,Love,Neutral,Reflective,Relationships,Anytime Wisdom,73,5.5,Having an idol is merely associating your identity to the admiration of another; Money laundering and deception prejudices and impacts others dearly; What you do not understand about this world ‘may' be for your own safety,"Wherefore, my dearly beloved, flee from idolatry.",I Corinthians 10:14
Overanalysing is dehumanizing to most,General,Neutral,Reflective,General,Anytime Wisdom,37,2.8,Thinking of profanity can be dehumanizing; Hilarity and humour is dehumanizing if done to excess; Compare yourself to others only in a noble and just manner - lest you create envy in others,Turn away my reproach which I fear: for thy judgments are good.,Psalms 119:39
Be grateful for senses,General,Neutral,Reflective,General,Anytime Wisdom,22,1.7,Be grateful for awards; Routines are luxuries in which not all have - so be grateful; Olfactory senses are usually underappreciated,"But blessed are your eyes, for they see: and your ears, for they hear.",Matthew 13:16
Islam practice is inductive towards great discipline,General,Neutral,Reflective,General,Anytime Wisdom,52,3.9,"Dreams are not prophetic, they are inductive; Discipline goes a long way towards a successful battle; There is always a GREAT place for you in God's plan","Teaching us that, denying ungodliness and worldly lusts, we should live soberly, righteously, and godly, in this present world;",Titus 2:12
Classical poetry is devoid of creativity simply because we grow accustomed to it,General,Neutral,Reflective,General,Anytime Wisdom,80,6.0,Grow to love your identity; If it has deep meaning it is poetry; Prune and perfect friendships and don't simply discard,"And gladness is taken away, and joy out of the plentiful field; and in the vineyards there shall be no singing, neither shall there be shouting: the treaders shall tread out no wine in their presses; I have made their vintage shouting to cease.",Isaiah 16:10
Every genuine artist has his/her own style,General,Neutral,Reflective,General,Anytime Wisdom,42,3.2,A genuine philosopher is wise; A work of art is only truly finished upon the culmination of the artist's life complete; All people are born leaders; you just have to know your leadership style,He fashioneth their hearts alike; he considereth all their works.,Psalms 33:15
